55756;120;1
829774;500;1
3165040;1000;1
7131605;1500;1
12739158;2000;1
19849366;2500;1
28611228;3000;1
38930301;3500;1
51779435;4000;1
64356548;4500;1
79652846;5000;1
37632;120;2
511658;500;2
2075211;1000;2
4654710;1500;2
8345242;2000;2
12805688;2500;2
19164459;3000;2
26467111;3500;2
37479937;4000;2
42648749;4500;2
54358134;5000;2
20716;120;4
343725;500;4
1362845;1000;4
3089588;1500;4
5516634;2000;4
8668629;2500;4
12386424;3000;4
16944644;3500;4
22359473;4000;4
28114679;4500;4
34319233;5000;4
15903;120;8
275132;500;8
1109810;1000;8
2488937;1500;8
4418453;2000;8
6976306;2500;8
9995743;3000;8
13641629;3500;8
18301909;4000;8
22661555;4500;8
28090003;5000;8
13626;120;12
232567;500;12
947100;1000;12
2134538;1500;12
3845675;2000;12
5919276;2500;12
8711867;3000;12
11658177;3500;12
15694022;4000;12
19455760;4500;12
23996408;5000;12
15850;120;16
251566;500;16
969498;1000;16
2134743;1500;16
3835228;2000;16
6113507;2500;16
8478688;3000;16
12033380;3500;16
15441853;4000;16
19486735;4500;16
23347321;5000;16
17303;120;24
237411;500;24
952847;1000;24
2092719;1500;24
3794285;2000;24
6035693;2500;24
8595749;3000;24
11753984;3500;24
15526664;4000;24
19086743;4500;24
23409824;5000;24
