103047;120,17.9566
1510277;500,324.058
5841248;1000,1304.17
13169409;1500,2940.35
23449968;2000,5232.58
36655610;2500,8180.88
52793626;3000,11785.2
71891320;3500,16045.6
93981886;4000,20962.1
118872546;4500,26534.6
146815708;5000,32763.1
85897;120,17.9566
1452585;500,324.058
5841449;1000,1304.17
13181076;1500,2940.35
23449928;2000,5232.58
36647736;2500,8180.88
52800574;3000,11785.2
71876958;3500,16045.6
93950212;4000,20962.1
118870134;4500,26534.6
146814426;5000,32763.1
82644;120,17.9566
1452602;500,324.058
5840922;1000,1304.17
13170806;1500,2940.35
23441562;2000,5232.58
36641604;2500,8180.88
52808189;3000,11785.2
71920095;3500,16045.6
93936109;4000,20962.1
118866082;4500,26534.6
146805696;5000,32763.1
82444;120,17.9566
1451895;500,324.058
5840304;1000,1304.17
13175407;1500,2940.35
23439497;2000,5232.58
36650420;2500,8180.88
52798423;3000,11785.2
71879746;3500,16045.6
93948175;4000,20962.1
118864353;4500,26534.6
146815392;5000,32763.1
82727;120,17.9566
1452572;500,324.058
5849187;1000,1304.17
13167623;1500,2940.35
23454227;2000,5232.58
36644044;2500,8180.88
52791050;3000,11785.2
71868497;3500,16045.6
93952805;4000,20962.1
118869097;4500,26534.6
148479119;5000,32763.1
85135;120,17.9566
1452059;500,324.058
5842392;1000,1304.17
13171633;1500,2940.35
23450435;2000,5232.58
36643564;2500,8180.88
52821206;3000,11785.2
71877371;3500,16045.6
93941715;4000,20962.1
118856542;4500,26534.6
146822497;5000,32763.1
84356;120,17.9566
1452817;500,324.058
5841272;1000,1304.17
13174418;1500,2940.35
23444007;2000,5232.58
36645045;2500,8180.88
52783607;3000,11785.2
71875537;3500,16045.6
93947840;4000,20962.1
118852397;4500,26534.6
146797709;5000,32763.1
85456;120,17.9566
1461730;500,324.058
5841061;1000,1304.17
13167023;1500,2940.35
23441653;2000,5232.58
36655322;2500,8180.88
52802150;3000,11785.2
71876084;3500,16045.6
93968741;4000,20962.1
118865327;4500,26534.6
146828435;5000,32763.1
84137;120,17.9566
1453388;500,324.058
5842739;1000,1304.17
13184261;1500,2940.35
23438287;2000,5232.58
36647218;2500,8180.88
52792535;3000,11785.2
71871597;3500,16045.6
93941844;4000,20962.1
118899815;4500,26534.6
146834641;5000,32763.1
83273;120,17.9566
1452596;500,324.058
5843553;1000,1304.17
13171853;1500,2940.35
23451729;2000,5232.58
36641767;2500,8180.88
52816027;3000,11785.2
71865484;3500,16045.6
93945186;4000,20962.1
118885169;4500,26534.6
146819744;5000,32763.1
